Date,Open,High,Low,Close,Volume,Adj Close
12/03/2012,3.29,4.35,3.24,3.95,62302700,3.95
11/01/2012,2.76,3.59,2.6,3.26,50389100,3.26
10/01/2012,2.59,2.95,2.52,2.67,41682000,2.67
09/04/2012,2.9,3.14,2.27,2.58,73310600,2.58
08/01/2012,2.43,3.39,2.17,2.82,60390600,2.82
07/02/2012,2.11,2.41,1.63,2.41,48828400,2.41
06/01/2012,2.65,3.03,2.04,2.07,43278400,2.07
05/01/2012,3.69,3.75,2.63,2.67,38218000,2.67
04/02/2012,5.4,5.52,3.54,3.65,52331900,3.38
03/01/2012,5.31,5.57,4.9,5.49,31303200,5.08
02/01/2012,5.1,5.87,4.95,5.29,31360200,4.9
01/03/2012,5.17,5.78,4.93,5.04,39425500,4.67
